N, Sorted BST Insert, Shuffled BST Insert, Sorted AVL Insert, Shuffled AVL Insert, Sorted BST Search, Shuffled BST Search, Sorted AVL Search, Shuffled AVL Search,
30, 0.5593, 0.0898, 1.0448, 0.1849, 0.2032, 0.1909, 0.0942, 0.1849,
60, 0.617, 0.1548, 1.3656, 0.3462, 0.8353, 0.1348, 0.2315, 0.3462,
90, 0.7584, 0.1614, 1.4386, 0.4558, 1.1857, 0.1148, 0.1667, 0.4558,
120, 0.7229, 0.1381, 1.3108, 0.5066, 1.0898, 0.1875, 0.2866, 0.5066,
150, 0.9841, 0.33, 2.0314, 0.5299, 1.1092, 0.1358, 0.3276, 0.5299,
180, 1.5463, 0.2517, 1.9766, 0.5837, 0.9674, 0.1417, 0.2783, 0.5837,
210, 1.428, 0.2024, 1.4934, 0.6348, 1.3615, 0.1671, 0.2661, 0.6348,
240, 1.5305, 0.3672, 2.4691, 0.4406, 0.7901, 0.141, 0.2429, 0.4406,
270, 1.5136, 0.3854, 2.9914, 0.5949, 1.1311, 0.1859, 0.3954, 0.5949,
300, 1.7099, 0.595, 2.5538, 0.3715, 0.8694, 0.236, 0.5417, 0.3715,
330, 1.5737, 0.599, 3.2534, 1.0355, 1.5518, 0.2818, 0.4368, 1.0355,
360, 1.4799, 0.3952, 3.1088, 0.7616, 1.141, 0.282, 0.5876, 0.7616,
390, 2.2042, 0.4415, 3.3599, 0.6515, 1.2889, 0.3544, 0.6676, 0.6515,
420, 1.562, 0.3669, 3.3513, 0.9107, 1.578, 0.4006, 0.7415, 0.9107,
450, 1.5704, 0.546, 3.6714, 0.8935, 1.4461, 0.411, 0.733, 0.8935,
480, 2.0083, 0.4741, 3.366, 0.8499, 1.8439, 0.531, 0.9433, 0.8499,
510, 2.0708, 0.6434, 4.056, 0.9226, 2.1748, 0.5465, 1.0893, 0.9226,
540, 1.8222, 0.5544, 3.7734, 1.1349, 1.5845, 0.4514, 0.7836, 1.1349,
